id_instance,id_conversation,user_code,transcription,Palabras,id_tone,Bullying,detonator_dialogue,Palabra Unica,Total,Hombres,Mujeres,Interaccion
5,1,2,jaja ,,1,1,0,0,2,2,0,1
4,1,1,que se joda por no poner atencion ,,1,1,0,0,2,2,0,1
3,1,1,nadie le diga ,,1,1,1,0,2,2,0,1
10,1,1,4,,0,0,0,0,2,2,0,1
1,1,2,mañana en donde sera entonces ,,0,0,0,0,2,2,0,1
21,2,2,jaja ok ,,0,0,0,0,2,2,0,1
19,2,1,[@usuario_ext1] lo tiene ,,0,0,0,0,2,2,0,1
13,2,1,wey ,,1,1,0,0,2,2,0,1
12,2,2,caritaTriste ,,0,0,0,0,2,2,0,1
27,3,1,renate s[@usuario3] best waifu ,"renate,best,",0,0,0,2,2,4,0,3
24,3,2,vere jajas mietras caritaTriste ,"mietras,",0,0,0,1,2,4,0,3
23,3,2,ok ,,0,0,0,0,2,4,0,3
34,4,1,pinche [@usuario2] te juntas mucho conmigo ,"juntas,",1,1,0,1,3,3,0,1
33,4,2,Ok le voy a decir que quieres invitarlo a una cita y que afortunadamente vayan a una siguiente a consta de tu amiga a la que no le has dado las flores ,"invitarlo,cita,afortunadamente,consta,flores,",1,1,1,5,3,3,0,1
49,5,4,si [@usuario1] es el pasivo ,"pasivo,",1,1,0,1,4,4,0,1
48,5,1,pero estas mal en eso caritaTriste ,,0,0,0,0,4,4,0,1
47,5,1,nose que pienas de mi ,"pienas,",0,0,0,1,4,4,0,1
46,5,2,Eso espero ,,0,0,0,0,4,4,0,1
40,5,1,pero no ira [@usuario_ext2] seremos mas pcos ,"seremos,pcos,",0,0,0,2,4,4,0,1
39,5,1,yo no queor nada con nadie ,"queor,",1,1,0,1,4,4,0,1
38,5,1,jaja me d igual ,,1,1,0,0,4,4,0,1
36,5,1,ps aber si [@usuario_ext1] puede para que no seamos pocos ,"aber,pocos,",0,0,0,2,4,4,0,1
58,6,3,En cuanto pueda lo dejare libre ,,0,0,0,0,3,3,0,3
57,6,3,Cambiare al pony caritaTriste ,,1,1,0,0,3,3,0,3
53,6,1,Y para colmo se le insinuo un cabalo ,"colmo,insinuo,",1,1,1,2,3,3,0,3
52,6,2,[@usuario_ext2] hizo mas de la mitad del trabajo ,,0,0,0,0,3,3,0,3
60,7,2,El chodo configuro el apodo de [@usuario3] como I'm gay again and a zofilic ,"chodo,configuro,",1,1,0,2,3,3,0,3
68,8,2,lo siento amigo ,,0,0,0,0,2,2,0,1
65,8,1,o mas pero sin dejar a esos 5 ,,0,0,0,0,2,2,0,1
64,8,1,jaja ps supongo que si los 5 empezamos el juego para la ptra seseion es corecto que estemos los 5 mismos ,"juego,ptra,seseion,corecto,estemos,mismos,",0,0,0,6,2,2,0,1
82,9,3,Yo no quiero saber no mames ,,1,1,0,0,3,3,0,1
81,9,3,Dude no ,,0,0,0,0,3,3,0,1
77,9,2,Creo que si ,,0,0,0,0,3,3,0,1
76,9,1,Quiero que hagas eso ,,1,1,1,0,3,3,0,1
88,10,2,jaja cuanto ganare  ,"ganare,",1,1,0,1,3,3,0,2
98,11,2,Si cual es tu puto pedo ,,1,1,0,0,4,4,0,3
96,11,3,jaja ,,0,0,0,0,4,4,0,3
95,11,2,Te filereo en corto si sales con una mamada ,"filereo,corto,",1,1,0,2,4,4,0,3
107,11,2,Es como el nazi gay de la escuela ,"nazi,",1,1,0,1,4,4,0,3
104,11,1,Eso es nuevo ,,1,1,0,0,4,4,0,3
102,11,2,Pinche racista de mierda ,,1,1,0,0,4,4,0,3
100,11,3,jaja no no decis edo xf ,"decis,edo,xf,",0,0,0,3,4,4,0,3
108,12,1,Los bronies combinan zofilia y pedofilia ,"bronies,pedofilia,",1,1,1,2,3,3,0,4
118,13,3,Y no es poni Interesante ,"poni,",1,1,0,1,3,3,0,1
117,13,1,jaja ,,0,0,0,0,3,3,0,1
116,13,2,no por ser una serie quita el hecho de que te puedes masturbar viendola ,"masturbar,viendola,",1,1,0,2,3,3,0,1
114,13,1,wtf ,,0,0,0,0,3,3,0,1
113,13,2,neta ,,0,0,0,0,3,3,0,1
112,13,2,no necesito saber con que te masturbas ,"necesito,masturbas,",1,1,1,2,3,3,0,1
111,13,1,yo mientras veo jesica jones ,"mientras,jesica,jones,",0,0,0,3,3,3,0,1
122,14,1,it's all ogre now ,"ogre,now,",1,1,0,2,2,2,0,1
121,14,2,jaja ,,1,1,0,0,2,2,0,1
119,14,1,[@usuario_ext1] es amor [@usuario_ext1] es vida ,,0,0,0,0,2,2,0,1
125,15,3,gay ,,1,1,0,0,3,3,0,3
124,15,2, ,,0,0,0,0,3,3,0,3
