id_instance,id_conversation,user_code,transcription,id_tone,detonator_dialogue
1,1,2,mañana en donde sera entonces ,0,0
3,1,1,nadie le diga ,1,1
4,1,1,que se joda por no poner atencion ,1,0
5,1,2,jaja ,1,0
10,1,1,4,0,0
12,2,2,caritaTriste ,0,0
13,2,1,wey ,1,0
19,2,1,[@usuario_ext1] lo tiene ,0,0
21,2,2,jaja ok ,0,0
23,3,2,ok ,0,0
24,3,2,vere jajas mietras caritaTriste ,0,0
27,3,1,renate s[@usuario3] best waifu ,0,0
33,4,2,Ok le voy a decir que quieres invitarlo a una cita y que afortunadamente vayan a una siguiente a consta de tu amiga a la que no le has dado las flores ,1,1
34,4,1,pinche [@usuario2] te juntas mucho conmigo ,1,0
36,5,1,ps aber si [@usuario_ext1] puede para que no seamos pocos ,0,0
38,5,1,jaja me d igual ,1,0
39,5,1,yo no queor nada con nadie ,1,0
40,5,1,pero no ira [@usuario_ext2] seremos mas pcos ,0,0
46,5,2,Eso espero ,0,0
47,5,1,nose que pienas de mi ,0,0
48,5,1,pero estas mal en eso caritaTriste ,0,0
49,5,4,si [@usuario1] es el pasivo ,1,0
52,6,2,[@usuario_ext2] hizo mas de la mitad del trabajo ,0,0
53,6,1,Y para colmo se le insinuo un cabalo ,1,1
57,6,3,Cambiare al pony caritaTriste ,1,0
58,6,3,En cuanto pueda lo dejare libre ,0,0
60,7,2,El chodo configuro el apodo de [@usuario3] como I'm gay again and a zofilic ,1,0
64,8,1,jaja ps supongo que si los 5 empezamos el juego para la ptra seseion es corecto que estemos los 5 mismos ,0,0
65,8,1,o mas pero sin dejar a esos 5 ,0,0
68,8,2,lo siento amigo ,0,0
76,9,1,Quiero que hagas eso ,1,1
77,9,2,Creo que si ,0,0
81,9,3,Dude no ,0,0
82,9,3,Yo no quiero saber no mames ,1,0
88,10,2,jaja cuanto ganare  ,1,0
95,11,2,Te filereo en corto si sales con una mamada ,1,0
96,11,3,jaja ,0,0
98,11,2,Si cual es tu puto pedo ,1,0
100,11,3,jaja no no decis edo xf ,0,0
102,11,2,Pinche racista de mierda ,1,0
104,11,1,Eso es nuevo ,1,0
107,11,2,Es como el nazi gay de la escuela ,1,0
108,12,1,Los bronies combinan zofilia y pedofilia ,1,1
111,13,1,yo mientras veo jesica jones ,0,0
112,13,2,no necesito saber con que te masturbas ,1,1
113,13,2,neta ,0,0
114,13,1,wtf ,0,0
116,13,2,no por ser una serie quita el hecho de que te puedes masturbar viendola ,1,0
117,13,1,jaja ,0,0
118,13,3,Y no es poni Interesante ,1,0
119,14,1,[@usuario_ext1] es amor [@usuario_ext1] es vida ,0,0
121,14,2,jaja ,1,0
122,14,1,it's all ogre now ,1,0
123,15,1,Quier que le ensarten el espadon y quedqr vivo caritaFeliz ,1,1
124,15,2, ,0,0
125,15,3,gay ,1,0
126,16,1,¿que tipo de botarga sera [usuario_ext1] ,1,0
127,16,2,Aun no esta decidido ,0,0
128,16,2,Lo votaremos en la primera sesion ordinaria de la fraternidad ,0,0
129,16,1,Mm ya veo No lo dejen ser pony ni unicornio no es nada personal [@usuario_ext1] ,1,1
134,16,2,Que escogeremos lo que lo ponga mas incomodo ,1,0
138,17,1,Porque debemos hacer aniversario de esa fecha ,1,0
140,17,1,El disque dijiste el nombre de la mora que te gusta ,1,0
143,18,1,jaja ,0,0
145,18,3,Saludar a la gente es muy de los 20's men ,1,0
148,18,2,se nota que no estas en onda ,1,0
149,19,1,wey ,0,0
150,19,1,encontre la cancion del [@usuario_ext1] ,0,1
152,20,1,jugaremos rol en la junta ,0,0
153,20,2,No [@usuario1] ,0,0
155,20,3,Eso es un asunto diferente ,0,0
156,20,1,si ya se ,0,0
158,20,1,yp pense si quedaba le tiempo ,0,0
161,20,2,No compines el culo con las pestañas ,1,0
162,20,2,O hare que te mires tu propio culo de cerca ,1,0
163,20,1, ,0,0
165,21,1,pero ayer me levo a comer y todo caritaTriste ,0,0
167,21,2,y ya te la cogiste ,1,1
168,21,1,jaja que no caritaTriste ,0,0
170,21,1,jaja si ,0,0
171,21,1,gana como 9ml pesos ala quisena jaja ,0,0
172,21,1,no e cuesta nada caritaTriste ,1,0
174,21,3,Es tu sugar momy [@usuario1] ,1,0
175,21,1,no ,0,0
176,21,2,te estas viendo lento moro ,1,0
182,22,2,porque no quieres ,1,0
188,23,1, ,0,0
189,23,2,No ,0,0
193,23,1,caritaTriste ,0,0
197,24,2,jhe ,0,0
198,24,2,ya empezamos con la depresion ,1,1
199,24,2,eso ,0,0
201,24,1,jaja es nuestro tema mas popular caritaTriste ,1,0
204,24,2,si no serias igual que el resto de nosotros ,1,0
205,25,1,Si voy mañana ,0,0
206,25,2,Preguntare a que hora terminamos para ir a la escuela ,0,0
208,25,3,caritaFeliz ,0,0
209,25,4,de una vez dile que se la quieres chupar ,1,1
210,25,3,jaja ,1,0
211,26,1,[@usuario3] las mujeres no tienen pene ,1,1
213,26,1,lo que significa que tu ex era hombre ,1,0
222,27,1,De todas formas no estas con ela ahorita ,0,0
224,27,1,Es que se merme tu cartera te sientas humilado te quieras morir ela te deje de hablar y caigas en el pozo de la desesperacion ,1,1
225,27,1,Y todo esto sin siquiera acercarte lo suficiente para probar sus labios ,1,0
227,27,2,jaja ,1,0
229,27,2,No ,0,0
231,28,1,Quieren pinches retas o que putos ,1,1
235,28,2,Y yo me ir de campo regreso el domingo ,0,0
236,28,1,Para que te lo paten ,1,0
237,28,2,Igual si me contestan o no da igual jajas no me afecta yo sigo viendo anime caritaFeliz ,0,0
240,29,1,Asi se llama por si la quieren buscar ,0,0
242,29,1,Bien ,0,0
243,29,2,[@usuario_ext2] la tiene de amiga en face y no le habla ,1,1
245,29,1,Pinche moro culo ,1,0
246,30,1,[@usuario2] ,0,0
247,30,1,Voy a ser uno de tus padrinos de boda ,0,0
252,30,1,Asi que te casaras con un individuo ,1,0
253,30,1,Al menos por interes ,1,0
254,30,1,Aunque sea de la forma legal de ir solo a firnar ,1,0
256,30,1, ,0,0
257,30,3,Especialmente si solo es firmar ,1,0
267,31,1,caritab ,0,0
269,31,1,Nada en mi casa y usted ,0,0
273,31,1,Y ya no hice nada ,0,0
274,31,2,Estoy mirando if i stay ,0,0
